aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,computed_aqi
5,1535.42,0.0,32.22,27.18,22.89,129.28,181.93,6.4,307.35
5,2750.4,1.82,55.52,3.44,36.72,210.18,271.65,5.32,369.44
5,1815.8,0.03,36.33,15.74,25.27,128.03,165.29,6.02,306.4
5,2029.42,0.09,38.73,13.59,26.23,124.44,165.42,5.76,303.64
5,8438.11,227.09,90.48,0.0,81.06,652.15,763.91,7.54,110.48
5,2243.04,12.07,54.84,0.01,30.04,148.65,355.72,16.72,322.22
5,1922.61,9.28,54.84,0.18,31.47,97.2,183.85,16.47,222.17
5,2109.53,15.87,56.21,0.04,32.42,109.33,212.25,19.25,263.57
5,1668.93,5.64,58.26,2.5,31.95,84.46,166.07,22.04,181.09
4,847.82,0.11,34.96,17.88,23.84,44.03,98.56,15.45,98.56
5,5928.04,116.23,53.47,0.0,105.86,347.44,651.38,95.25,439.34
5,6301.88,102.82,47.98,0.0,41.49,430.11,700.22,12.79,472.21
5,7904.05,114.44,67.17,0.0,50.55,572.16,896.29,26.6,83.88
5,1789.09,0.0,32.56,47.21,19.55,186.18,281.65,8.49,351.02
5,1201.63,0.91,35.99,3.4,43.87,59.63,75.74,6.65,99.37
3,680.92,0.05,21.08,14.66,26.46,24.29,30.46,2.85,40.48
4,767.71,0.02,22.96,20.56,31.47,40.36,45.96,2.44,66.82
5,2243.04,16.54,37.7,0.01,26.7,118.98,168.35,5.89,296.52
5,8544.92,191.33,47.3,0.0,43.87,544.34,669.48,10.89,58.92
5,6675.72,146.63,47.3,0.0,42.92,364.39,465.33,7.85,450.26
5,907.9,0.01,30.16,26.11,19.55,52.62,137.92,18.49,125.53
5,2883.91,37.1,70.6,0.01,35.76,153.86,278.97,16.09,326.22
5,1562.12,0.59,61.01,5.63,41.96,96.15,225.57,18.24,218.58
5,961.3,0.07,30.5,13.41,28.85,74.52,104.16,5.83,147.15
5,947.95,0.0,25.36,42.92,32.42,109.27,121.85,5.7,263.37
4,801.09,0.02,25.36,21.64,28.13,44.44,64.23,5.76,73.71
4,700.95,0.01,24.33,23.6,29.8,38.15,45.95,3.42,63.08
5,1588.82,1.23,37.36,3.17,23.37,102.59,164.05,6.08,240.57
5,3738.4,30.85,89.11,0.0,51.98,233.74,290.55,8.36,387.52
5,1895.9,17.21,61.69,0.0,69.62,115.51,142.06,5.38,284.67
5,7904.05,159.14,40.44,0.0,34.81,518.83,649.22,13.81,43.51
5,6515.5,9.95,126.12,0.13,55.79,607.09,687.19,4.62,146.12
5,4325.87,36.66,89.11,0.0,46.25,308.06,393.75,8.11,423.69
4,894.55,0.01,21.76,22.53,26.23,32.45,45.61,5.13,53.45
4,580.79,0.0,21.76,36.48,30.99,25.77,35.43,5.32,42.95
5,867.84,0.0,23.65,44.35,29.8,61.36,76.73,5.51,102.23
4,767.71,0.03,23.31,19.67,30.28,30.99,36.7,2.76,37.85
4,761.03,0.03,21.76,18.24,27.18,39.86,48.47,3.83,65.97
5,1068.12,0.1,21.76,11.62,12.52,66.11,97.31,4.62,118.44
5,1308.44,0.01,27.76,24.68,20.27,99.14,137.33,5.26,228.79
5,3231.05,59.01,16.28,0.0,25.51,206.81,430.32,17.73,366.85
5,1388.55,0.81,38.73,10.73,10.73,101.8,173.51,5.51,237.87
5,1214.98,0.07,30.5,17.35,18.6,107.62,149.53,7.79,257.74
3,540.73,0.0,20.05,28.61,21.7,23.18,34.36,6.9,38.63
5,934.6,0.0,21.25,43.99,20.5,67.49,88.21,6.08,123.16
5,1628.88,0.34,42.16,7.87,21.7,128.08,171.49,6.46,306.43
5,1895.9,0.11,54.84,11.62,31.95,135.97,186.86,7.85,312.49
5,1708.98,0.0,34.62,41.84,34.33,199.61,228.74,6.33,361.33
5,1508.71,2.1,34.62,1.54,30.28,102.38,129.16,6.71,239.85
5,1188.28,0.03,28.79,18.06,20.27,93.22,135.14,5.26,208.58
5,1228.33,0.01,30.16,21.64,18.36,86.37,127.81,5.13,187.61
5,1241.68,0.01,25.36,25.75,13.71,114.71,162.21,6.14,281.94
5,934.6,0.0,18.17,48.64,16.93,65.85,85.18,4.94,117.56
5,1869.2,0.53,41.13,14.31,20.98,135.48,196.01,7.41,312.11
5,974.66,0.02,27.76,20.74,25.99,54.67,78.89,6.08,90.99
5,1188.28,0.0,32.9,58.65,40.05,103.81,130.59,6.59,244.73
5,8224.49,97.45,116.53,0.0,51.98,619.22,798.04,10.89,136.53
5,6141.66,40.23,119.27,0.0,42.92,413.59,502.07,10.64,465.64
5,1268.39,0.1,33.24,12.7,12.04,74.0,113.67,7.54,145.38
5,1668.93,8.05,38.73,0.12,16.69,78.7,137.47,12.41,161.42
5,6515.5,113.55,51.41,0.0,46.25,423.72,737.35,34.45,469.67
5,6622.31,67.95,148.06,0.0,122.07,523.68,813.73,127.67,168.06
5,1642.23,0.18,42.16,13.23,15.97,127.99,193.39,9.88,306.36
5,1535.42,0.0,37.36,38.27,12.64,132.07,194.69,11.27,309.5
5,3471.37,39.34,52.78,0.0,24.32,232.36,385.49,16.97,386.46
